school_name,school_code,school_province,city,school_level,school_tags,major_name,major_code,major_category,direction_tags,major_description,career_paths,admission_year,admission_province,subject_type,batch,major_group_code,elective_requirement,min_score,min_rank,plan_count,tuition,campus,source_name,source_type,source_url,source_description,is_verified,remark
川蜀智能科技大学（模拟）,SCX001,四川,成都,高水平研究型（模拟）,"模拟院校,人工智能特色",人工智能,080717T,工学,"AI算法,大模型应用",学习机器学习与生成式人工智能基础（模拟专业信息）,"算法工程师,大模型应用工程师",2025,四川,理科,本科批,W01,物理+化学,650,5000,18,6500元/年（模拟）,主校区（模拟）,四川省教育考试院（示例）,official,https://www.sceea.cn/,四川省招生考试公开信息渠道示例,1,示例数据，仅用于导入模板演示
川蜀智能科技大学（模拟）,SCX001,四川,成都,高水平研究型（模拟）,"模拟院校,人工智能特色",计算机科学与技术,080901,工学,"AI算法,Agent",学习计算机系统与智能软件开发（模拟专业信息）,"软件工程师,Agent开发工程师",2025,四川,理科,本科批,W02,物理+化学,642,7500,22,6500元/年（模拟）,主校区（模拟）,四川省教育考试院（示例）,official,https://www.sceea.cn/,四川省招生考试公开信息渠道示例,true,示例数据，仅用于导入模板演示
天府未来工程学院（模拟）,SCX002,四川,绵阳,应用研究型（模拟）,"模拟院校,智能工程特色",机器人工程,080803T,工学,"机器人,智能制造",学习机器人感知控制与工程实践（模拟专业信息）,"机器人工程师,控制算法工程师",2025,四川,理科,本科批,W03,物理+化学,620,12500,20,6200元/年（模拟）,科技城校区（模拟）,四川省教育考试院（示例）,official,https://www.sceea.cn/,四川省招生考试公开信息渠道示例,是,示例数据，仅用于导入模板演示
天府未来工程学院（模拟）,SCX002,四川,绵阳,应用研究型（模拟）,"模拟院校,智能工程特色",智能制造工程,080213T,工学,"智能制造,机器人",学习数字化制造与智能装备技术（模拟专业信息）,"智能制造工程师,工业软件工程师",2025,四川,理科,本科批,W03,物理+化学,608,18000,24,6200元/年（模拟）,科技城校区（模拟）,四川省教育考试院（示例）,official,https://www.sceea.cn/,四川省招生考试公开信息渠道示例,0,示例数据，仅用于导入模板演示
巴蜀数字技术大学（模拟）,SCX003,四川,乐山,应用研究型（模拟）,"模拟院校,软件与数据特色",软件工程,080902,工学,"大模型应用,Agent",学习软件工程与智能应用系统开发（模拟专业信息）,"软件工程师,AI应用开发工程师",2025,四川,理科,本科批,W04,物理,595,26000,28,6000元/年（模拟）,滨河校区（模拟）,四川省教育考试院（示例）,official,https://www.sceea.cn/,四川省招生考试公开信息渠道示例,false,示例数据，仅用于导入模板演示
巴蜀数字技术大学（模拟）,SCX003,四川,乐山,应用研究型（模拟）,"模拟院校,软件与数据特色",数据科学与大数据技术,080910T,工学,"AI算法,大模型应用",学习数据建模与机器学习应用（模拟专业信息）,"数据工程师,数据分析师",2025,四川,理科,本科批,W05,物理+化学,585,32000,30,6000元/年（模拟）,滨河校区（模拟）,四川省教育考试院（示例）,official,https://www.sceea.cn/,四川省招生考试公开信息渠道示例,否,示例数据，仅用于导入模板演示
锦江信息工程学院（模拟）,SCX004,四川,成都,应用型本科（模拟）,"模拟院校,电子信息特色",电子信息工程,080701,工学,"计算机视觉,AI算法",学习信号处理与智能视觉感知（模拟专业信息）,"电子工程师,视觉算法工程师",2025,四川,理科,本科批,W06,物理+化学,570,43000,32,5800元/年（模拟）,龙泉校区（模拟）,四川省教育考试院（示例）,official,https://www.sceea.cn/,四川省招生考试公开信息渠道示例,1,示例数据，仅用于导入模板演示
锦江信息工程学院（模拟）,SCX004,四川,成都,应用型本科（模拟）,"模拟院校,电子信息特色",物联网工程,080905,工学,"Agent,智能制造",学习物联网平台与智能终端协同（模拟专业信息）,"物联网工程师,智能设备工程师",2025,四川,理科,本科批,W07,物理,555,52000,36,5800元/年（模拟）,龙泉校区（模拟）,四川省教育考试院（示例）,official,https://www.sceea.cn/,四川省招生考试公开信息渠道示例,0,示例数据，仅用于导入模板演示
蜀南智能应用学院（模拟）,SCX005,四川,宜宾,应用型本科（模拟）,"模拟院校,自动化特色",自动化,080801,工学,"智能制造,机器人",学习自动控制与智能生产系统（模拟专业信息）,"自动化工程师,智能制造工程师",2025,四川,理科,本科批,W08,物理+化学,535,68000,40,5600元/年（模拟）,临港校区（模拟）,四川省教育考试院（示例）,official,https://www.sceea.cn/,四川省招生考试公开信息渠道示例,true,示例数据，仅用于导入模板演示
蜀南智能应用学院（模拟）,SCX005,四川,宜宾,应用型本科（模拟）,"模拟院校,自动化特色",智能科学与技术,080907T,工学,"计算机视觉,Agent",学习智能计算与视觉应用技术（模拟专业信息）,"智能系统工程师,视觉应用工程师",2025,四川,理科,本科批,W09,物理,520,82000,42,5600元/年（模拟）,临港校区（模拟）,四川省教育考试院（示例）,official,https://www.sceea.cn/,四川省招生考试公开信息渠道示例,否,示例数据，仅用于导入模板演示
